File /eos/project/c/cmsweb/www/reco-prof/circles/data/CMSSW_12_4_0_pre2/slc7_amd64_gcc10/11834.21/step3.root Events 400
Branch Name | Average Uncompressed Size (Bytes/Event) | Average Compressed Size (Bytes/Event) 
particleFlowEGamma: (recoConversions) 434.615 132.933
muons:muonShowerInformation (recoMuonShoweredmValueMap) 928.102 132.838
gtStage2Digis:EGamma5 (l1tEGammaBXVector) 251 131.51
gtStage2Digis:EGamma4 (l1tEGammaBXVector) 251 131.51
gtStage2Digis:EGamma2 (l1tEGammaBXVector) 251 131.51
gtStage2Digis:EGamma3 (l1tEGammaBXVector) 251 131.51
gtStage2Digis:EGamma6 (l1tEGammaBXVector) 251 131.51
muonMETValueMapProducer:muCorrData (recoMuonMETCorrectionDataedmValueMap) 218.613 130.942
scalersRawToDigi: (Level1TriggerScalerss) 326.925 130.718
caloStage2Digis:MP (l1tEGammaBXVector) 249.08 129.65
gmtStage2Digis:EMTF (l1tRegionalMuonCandBXVector) 379.382 129.445
muons:dt (recoMuonTimeExtraedmValueMap) 501.942 125.382
gtStage2Digis:Tau3 (l1tTauBXVector) 238.35 122.698
gtStage2Digis:Tau2 (l1tTauBXVector) 238.35 122.698
gtStage2Digis:Tau4 (l1tTauBXVector) 238.35 122.698
gtStage2Digis:Tau5 (l1tTauBXVector) 238.35 122.698
caloStage2Digis:MP (l1tTauBXVector) 238.35 122.698
gtStage2Digis:Tau6 (l1tTauBXVector) 238.35 122.698
caloStage2Digis:CaloTower (l1tCaloTowerBXVector) 230.715 122.597
gmtStage2Digis:MuonShowerCopy1 (l1tMuonShowerBXVector) 242.463 122.403
gmtStage2Digis:MuonShowerCopy2 (l1tMuonShowerBXVector) 242.463 122.403
gmtStage2Digis:MuonShowerCopy5 (l1tMuonShowerBXVector) 242.463 122.403
gmtStage2Digis:MuonShowerCopy4 (l1tMuonShowerBXVector) 242.463 122.403
gmtStage2Digis:MuonShowerCopy3 (l1tMuonShowerBXVector) 242.463 122.403
JetPlusTrackZSPCorJetAntiKt4: (recoCaloJets) 254.192 121.987
gmtStage2Digis:MuonShower (l1tMuonShowerBXVector) 223.873 119.963
gtStage2Digis:MuonShower5 (l1tMuonShowerBXVector) 223.713 119.382
gtStage2Digis:MuonShower6 (l1tMuonShowerBXVector) 223.713 119.382
gtStage2Digis:MuonShower4 (l1tMuonShowerBXVector) 223.713 119.382
gtStage2Digis:MuonShower3 (l1tMuonShowerBXVector) 223.713 119.382
gtStage2Digis:MuonShower2 (l1tMuonShowerBXVector) 223.713 119.382
gtStage2Digis:MuonShower (l1tMuonShowerBXVector) 223.322 119.362
caloStage2Digis:MP (l1tJetBXVector) 230.395 118.53
gtStage2Digis:Jet6 (l1tJetBXVector) 230.395 118.53
gtStage2Digis:Jet4 (l1tJetBXVector) 230.395 118.53
gtStage2Digis:Jet2 (l1tJetBXVector) 230.395 118.53
gtStage2Digis:Jet5 (l1tJetBXVector) 230.395 118.53
gtStage2Digis:Jet3 (l1tJetBXVector) 230.395 118.53
pfJetProbabilityBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.745 116.745
pfMetPuppi: (recoPFMETs) 296.78 115.188
pfMet: (recoPFMETs) 295.043 114.67
gmtStage2Digis:BMTF (l1tRegionalMuonCandBXVector) 261.82 111.88
pfTrackCountingHighEffBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 577.405 110.905
hltScoutingMuonPacker: (Run3ScoutingMuons) 224.062 108.75
gmtStage2Digis:OMTF (l1tRegionalMuonCandBXVector) 222.26 106.203
scalersRawToDigi: (LumiScalerss) 297.457 105.058
hfEMClusters: (recoSuperClusters) 291.202 104.03
pfChMet: (recoPFMETs) 295.738 102.835
generator: (GenEventInfoProduct) 214.275 100.407
gtStage2Digis:EtSum4 (l1tEtSumBXVector) 192.065 99.1375
gtStage2Digis:EtSum6 (l1tEtSumBXVector) 192.065 99.1375
gtStage2Digis:EtSum3 (l1tEtSumBXVector) 192.065 99.1375
gtStage2Digis:EtSum2 (l1tEtSumBXVector) 192.065 99.1375
gtStage2Digis:EtSum5 (l1tEtSumBXVector) 192.065 99.1375
caloStage2Digis:MP (l1tEtSumBXVector) 191.1 98.1325
hybridSuperClusters:uncleanOnlyHybridSuperClusters (recoSuperClusters) 286 96.1075
muons:cosmicsVeto (recoMuonCosmicCompatibilityedmValueMap) 363.812 95.5575
clusterSummaryProducer: (ClusterSummary) 209.325 94.9975
scalersRawToDigi: (L1TriggerScalerss) 241.863 94.9425
gemRecHits: (GEMDetIdGEMRecHitsOwnedRangeMap) 426.705 94.625
lowPtGsfElectronCores: (recoGsfElectronCores) 698.278 93.8375
hfEMClusters: (recoHFEMClusterShapes) 139.315 91.555
uncleanedOnlyCkfOutInTracksFromConversions: (recoTracks) 214.683 90.045
uncleanedOnlyCkfInOutTracksFromConversions: (recoTracks) 215.42 89.935
particleFlowSuperClusterOOTECAL:particleFlowSuperClusterOOTECALBarrel (recoSuperClusters) 209.287 89.53
particleFlowSuperClusterOOTECAL:particleFlowSuperClusterOOTECALEndcapWithPreshower (recoSuperClusters) 204.58 88.3025
hpsPFTauDiscriminationByMuonRejection3: (recoSingleTauDiscriminatorContaineredmValueMap) 534.567 83.6025
gedGsfElectronCores: (recoGsfElectronCores) 369.28 79.3325
hpsPFTauTransverseImpactParameters: (recoPFTausedmRefProdrecoPFTauTransverseImpactParametersrecoPFTauTransverseImpactParameterrecoPFTauTransverseImpactParametersTorecoPFTauTransverseImpactParameteredmrefhelperFindUsingAdvanceedmRefsAssociationVector) 511.228 79.2525
ak8PFJetsPuppiSoftDrop: (recoBasicJets) 202.94 76.8225
pixelClusterTagInfos: (recoPixelClusterTagInfos) 285.462 76.2275
gedPhotonCore: (recoPhotonCores) 464.558 76.015
gmtStage2Digis:EMTF (l1tRegionalMuonShowerBXVector) 155.305 73.205
BeamHaloSummary: (recoBeamHaloSummary) 208.935 71.8975
lowPtGsfToTrackLinks: (recoTracksedmAssociation) 138.92 71.32
particleBasedIsolation:gedPhotons (recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap) 200.947 71.07
particleFlow:muons (recoPFCandidateedmPtredmValueMap) 225.308 69.01
muons:muPFMeanDRIsoValuePU04 (doubleedmValueMap) 137.535 68.0775
offlineBeamSpot: (recoBeamSpot) 349.423 68.02
onlineMetaDataDigis: (recoBeamSpot) 350.772 67.94
hybridSuperClusters:uncleanOnlyHybridBarrelBasicClusters (recoCaloClusters) 203.715 67.6875
particleBasedIsolation:gedGsfElectrons (recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap) 157.127 65.0775
muonSimClassifier:toPrimaries (recoGenParticlesedmAssociation) 146.03 64.61
muons:muPFMeanDRIsoValuePU03 (doubleedmValueMap) 137.535 64.2475
muonSimClassifier:secondaries (recoGenParticles) 152.208 64.1475
muonSimClassifier:toSecondaries (recoGenParticlesedmAssociation) 146.5 63.39
scalersRawToDigi: (BeamSpotOnlines) 156.917 61.69
muons:muPFSumDRIsoValuePU04 (doubleedmValueMap) 137.493 59.245
gtStage2Digis: (GlobalExtBlkBXVector) 1402.38 59.1525
muons:muPFSumDRIsoValuePU03 (doubleedmValueMap) 137.493 58.055
photonCore: (recoPhotonCores) 334.002 57.1575
particleFlowRecHitECAL:Cleaned (recoPFRecHits) 333.38 56.46
genMetTrue: (recoGenMETs) 216.895 55.8925
pfSimpleInclusiveSecondaryVertexHighEffBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 579.275 55.285
pfSimpleSecondaryVertexHighEffBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 578.285 53.595
genMetCalo: (recoGenMETs) 216.895 52.6725
totemTriggerRawToDigi: (TotemTriggerCounters) 85.0225 52.3
particleFlow:electrons (recoPFCandidateedmPtredmValueMap) 113.36 51.905
muons:muPFMeanDRIsoValueChargedAll04 (doubleedmValueMap) 137.875 51.4175
hpsPFTauDiscriminationByDeadECALElectronRejection: (recoPFTauDiscriminator) 232.357 50.145
particleFlowSuperClusterOOTECAL:particleFlowBasicClusterOOTECALBarrel (recoCaloClusters) 113.737 50
muons:muPFSumDRIsoValueChargedAll04 (doubleedmValueMap) 137.833 49.575
ctppsProtons:singleRP (recoForwardProtons) 123.082 49.3475
ctppsProtons:multiRP (recoForwardProtons) 122.847 49.1125
muons:muPFMeanDRIsoValueCharged04 (doubleedmValueMap) 137.748 49.04
softPFElectronBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.525 48.885
particleFlow:photons (recoPFCandidateedmPtredmValueMap) 120.05 48.785
hpsPFTauDiscriminationByDecayModeFindingOldDMs: (recoPFTauDiscriminator) 231.99 48.3475
hpsPFTauDiscriminationByDecayModeFinding: (recoPFTauDiscriminator) 231.255 47.6225
muons:muPFSumDRIsoValueCharged04 (doubleedmValueMap) 137.705 47.5175
muons:muPFMeanDRIsoValueGamma04 (doubleedmValueMap) 137.662 46.905
lowPtGsfElectronSeedValueMaps:unbiased (floatedmValueMap) 94.375 46.725
lowPtGsfElectronSeedValueMaps:ptbiased (floatedmValueMap) 94.375 46.645
rekeyLowPtGsfElectronSeedValueMaps:unbiased (floatedmValueMap) 94.095 46.345
rekeyLowPtGsfElectronSeedValueMaps:ptbiased (floatedmValueMap) 94.095 46.315
hpsPFTauDiscriminationByDecayModeFindingNewDMs: (recoPFTauDiscriminator) 231.99 46.0375
